00:44:49 - 来自: main.py:1732 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x00000245E097CF70>'}
00:45:00 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(309, 28, 1121, 82), (360, 28, 1121, 82), (309, 29, 1121, 82), (310, 29, 1121, 82), (360, 29, 1121, 82), (259, 30, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (359, 30, 1121, 82), (360, 30, 1121, 82), (361, 30, 1121, 82), (259, 31, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (359, 31, 1121, 82), (360, 31, 1121, 82), (361, 31, 1121, 82), (259, 32, 1121, 82), (309, 32, 1121, 82), (310, 32, 1121, 82), (360, 32, 1121, 82), (361, 32, 1121, 82), (309, 33, 1121, 82), (310, 33, 1121, 82), (360, 33, 1121, 82)]', 'distance': '25'}
00:45:00 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(309, 28, 1121, 82), (360, 28, 1121, 82), (259, 30, 1121, 82)])
00:45:00 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(411, 30, 1121, 82), (412, 30, 1121, 82), (413, 30, 1121, 82), (512, 30, 1121, 82), (513, 30, 1121, 82), (514, 30, 1121, 82), (411, 31, 1121, 82), (412, 31, 1121, 82), (413, 31, 1121, 82), (462, 31, 1121, 82), (463, 31, 1121, 82), (512, 31, 1121, 82), (513, 31, 1121, 82), (514, 31, 1121, 82), (411, 32, 1121, 82), (412, 32, 1121, 82), (413, 32, 1121, 82), (512, 32, 1121, 82), (513, 32, 1121, 82), (514, 32, 1121, 82)]', 'distance': '25'}
00:45:00 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(411, 30, 1121, 82), (512, 30, 1121, 82), (462, 31, 1121, 82)])
00:45:00 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(562, 31, 1121, 82), (563, 31, 1121, 82)]', 'distance': '25'}
00:45:00 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(562, 31, 1121, 82)])
00:45:00 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(614, 30, 1121, 82), (613, 31, 1121, 82), (614, 31, 1121, 82), (613, 32, 1121, 82), (614, 32, 1121, 82)]', 'distance': '25'}
00:45:00 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(614, 30, 1121, 82)])
00:45:00 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(663, 29, 1121, 82), (664, 29, 1121, 82), (665, 29, 1121, 82), (663, 30, 1121, 82), (664, 30, 1121, 82), (665, 30, 1121, 82), (663, 31, 1121, 82), (664, 31, 1121, 82), (665, 31, 1121, 82)]', 'distance': '25'}
00:45:00 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(663, 29, 1121, 82)])
00:45:00 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(714, 28, 1121, 82), (715, 28, 1121, 82), (716, 28, 1121, 82), (714, 29, 1121, 82), (715, 29, 1121, 82), (716, 29, 1121, 82), (717, 29, 1121, 82), (714, 30, 1121, 82), (715, 30, 1121, 82), (716, 30, 1121, 82)]', 'distance': '25'}
00:45:00 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(714, 28, 1121, 82)])
00:45:00 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(815, 29, 1121, 82), (816, 29, 1121, 82), (765, 30, 1121, 82), (814, 30, 1121, 82), (815, 30, 1121, 82), (816, 30, 1121, 82), (817, 30, 1121, 82), (764, 31, 1121, 82), (765, 31, 1121, 82), (814, 31, 1121, 82), (815, 31, 1121, 82), (816, 31, 1121, 82), (817, 31, 1121, 82), (764, 32, 1121, 82), (765, 32, 1121, 82), (814, 32, 1121, 82), (815, 32, 1121, 82), (816, 32, 1121, 82)]', 'distance': '25'}
00:45:00 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(815, 29, 1121, 82), (765, 30, 1121, 82)])
00:45:00 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(865, 30, 1121, 82), (866, 30, 1121, 82), (867, 30, 1121, 82), (916, 30, 1121, 82), (917, 30, 1121, 82), (918, 30, 1121, 82), (865, 31, 1121, 82), (866, 31, 1121, 82), (867, 31, 1121, 82), (868, 31, 1121, 82), (915, 31, 1121, 82), (916, 31, 1121, 82), (917, 31, 1121, 82), (918, 31, 1121, 82), (865, 32, 1121, 82), (866, 32, 1121, 82), (867, 32, 1121, 82), (916, 32, 1121, 82), (917, 32, 1121, 82), (918, 32, 1121, 82)]', 'distance': '25'}
00:45:00 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(865, 30, 1121, 82), (916, 30, 1121, 82)])
00:45:00 -         来自: main.py:693 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 2KKTTT99987654433
00:45:00 - 来自: main.py:1734 - <module>                        | 调用函数            | __main__.state_display                   | 参数: {'self': '<__main__.MaYun object at 0x00000245E097CF70>', 'result': '在游戏中'}
00:45:00 - 来自: main.py:1734 - <module>                        | 函数返回            | __main__.state_display                   | 返回值: None
00:45:01 - 来自: main.py:1734 - <module>                        | 调用函数            | __main__.bid_display                     | 参数: {'self': '<__main__.MaYun object at 0x00000245E097CF70>', 'result': '得分：-0.052'}
00:45:01 -         来自: main.py:751 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x00000245E2362550>'}
00:45:01 - 来自: main.py:1734 - <module>                        | 函数返回            | __main__.bid_display                     | 返回值: None
00:45:01 - 来自: main.py:1734 - <module>                        | 调用函数            | __main__.suggest1_text                   | 参数: {'self': '<__main__.MaYun object at 0x00000245E097CF70>', 'result': '建议： 不叫'}
00:45:01 - 来自: main.py:1734 - <module>                        | 函数返回            | __main__.suggest1_text                   | 返回值: None
00:45:01 - 来自: main.py:1734 - <module>                        | 调用函数            | __main__.suggest2_text                   | 参数: {'self': '<__main__.MaYun object at 0x00000245E097CF70>', 'result': '建议： 不加倍'}
00:45:01 - 来自: main.py:1734 - <module>                        | 函数返回            | __main__.suggest2_text                   | 返回值: None
00:45:01 - 来自: main.py:1734 - <module>                        | 调用函数            | __main__.cards_recorder                  | 参数: {'self': '<__main__.MaYun object at 0x00000245E097CF70>', 'result': 'DX222AAAAKKQQQQJJJJT98887776665554433'}
00:45:01 - 来自: main.py:1734 - <module>                        | 函数返回            | __main__.cards_recorder                  | 返回值: None
00:45:01 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(107, 30, 1121, 82), (108, 30, 1121, 82), (109, 30, 1121, 82), (107, 31, 1121, 82), (108, 31, 1121, 82), (109, 31, 1121, 82), (107, 32, 1121, 82), (108, 32, 1121, 82), (109, 32, 1121, 82)]', 'distance': '25'}
00:45:01 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(107, 30, 1121, 82)])
00:45:01 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(158, 28, 1121, 82), (209, 28, 1121, 82), (157, 29, 1121, 82), (158, 29, 1121, 82), (159, 29, 1121, 82), (208, 29, 1121, 82), (209, 29, 1121, 82), (210, 29, 1121, 82), (157, 30, 1121, 82), (158, 30, 1121, 82), (159, 30, 1121, 82), (208, 30, 1121, 82), (209, 30, 1121, 82), (210, 30, 1121, 82)]', 'distance': '25'}
00:45:01 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(158, 28, 1121, 82), (209, 28, 1121, 82)])
00:45:01 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(309, 28, 1121, 82), (360, 28, 1121, 82), (309, 29, 1121, 82), (310, 29, 1121, 82), (360, 29, 1121, 82), (259, 30, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (359, 30, 1121, 82), (360, 30, 1121, 82), (361, 30, 1121, 82), (259, 31, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (359, 31, 1121, 82), (360, 31, 1121, 82), (361, 31, 1121, 82), (259, 32, 1121, 82), (309, 32, 1121, 82), (310, 32, 1121, 82), (360, 32, 1121, 82), (361, 32, 1121, 82), (309, 33, 1121, 82), (310, 33, 1121, 82), (360, 33, 1121, 82)]', 'distance': '25'}
